regime,arm,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
clean,fusion,0,0.4,Marine waters,116,0.8405797101449275,1.0,0.9133858267716536,0.9999999999999997,116,22,0,2013
clean,fusion,0,0.4,Mixed forest,1214,0.6512276785714286,0.9612850082372323,0.7764471057884231,0.8140761453879567,1167,625,47,312
clean,fusion,0,0.4,Pastures,916,0.7917620137299771,0.3777292576419214,0.5114560236511456,0.7400624061284403,346,91,570,1144
clean,fusion,0,0.4,"Transitional woodland, shrub",885,0.6619047619047619,0.15706214689265538,0.25388127853881276,0.5767772717425674,139,71,746,1195
clean,fusion,0,0.4,Urban fabric,265,0.7339449541284404,0.3018867924528302,0.42780748663101603,0.5196318024961007,80,29,185,1857
clean,fusion,0,0.6,Arable land,883,0.631891433418151,0.8437146092865232,0.7225994180407371,0.8155295818091881,745,434,138,834
clean,fusion,0,0.6,Broad-leaved forest,511,0.7317073170731707,0.05870841487279843,0.10869565217391304,0.48365475867904695,30,11,481,1629
clean,fusion,0,0.6,Complex cultivation patterns,1172,0.7093333333333334,0.9078498293515358,0.7964071856287425,0.8265838128198377,1064,436,108,543
clean,fusion,0,0.6,Coniferous forest,1193,0.6141649048625792,0.9740150880134115,0.753322528363047,0.90410758105341,1162,730,31,228
clean,fusion,0,0.6,Inland waters,379,0.6714975845410628,0.7335092348284961,0.7011349306431274,0.6867025651694626,278,136,101,1636
clean,fusion,0,0.6,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7061909758656874,0.6757028112449799,0.6906105695228322,0.7559694022861086,673,280,323,875
clean,fusion,0,0.6,Marine waters,116,0.8345323741007195,1.0,0.9098039215686274,0.9999999999999997,116,23,0,2012
clean,fusion,0,0.6,Mixed forest,1214,0.6210916799152093,0.9654036243822076,0.7558851983231216,0.797013343786424,1172,715,42,222
clean,fusion,0,0.6,Pastures,916,0.8461538461538461,0.24017467248908297,0.3741496598639456,0.720209416602348,220,40,696,1195
clean,fusion,0,0.6,"Transitional woodland, shrub",885,0.6981132075471698,0.12542372881355932,0.21264367816091953,0.5765121690942983,111,48,774,1218
clean,fusion,0,0.6,Urban fabric,265,0.7047619047619048,0.2792452830188679,0.4,0.48748040652065233,74,31,191,1855
clean,fusion,0,0.8,Arable land,883,0.5706845238095238,0.8686296715741789,0.688819039066008,0.7485745284029202,767,577,116,691
clean,fusion,0,0.8,Broad-leaved forest,511,0.0,0.0,0.0,0.4535305538212432,0,0,511,1640
clean,fusion,0,0.8,Complex cultivation patterns,1172,0.6775203506574827,0.9232081911262798,0.7815095702419647,0.8099455675038719,1082,515,90,464
clean,fusion,0,0.8,Coniferous forest,1193,0.6021784232365145,0.9731768650461022,0.743992310157001,0.8866274507538046,1161,767,32,191
clean,fusion,0,0.8,Inland waters,379,0.6781326781326781,0.7282321899736148,0.7022900763358778,0.6809872119944382,276,131,103,1641
clean,fusion,0,0.8,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.708904109589041,0.6234939759036144,0.6634615384615384,0.740359399764711,621,255,375,900
clean,fusion,0,0.8,Marine waters,116,0.8055555555555556,1.0,0.8923076923076924,0.9999999999999997,116,28,0,2007
clean,fusion,0,0.8,Mixed forest,1214,0.6131879543094496,0.9728171334431631,0.7522292993630574,0.7852576290082702,1181,745,33,192
clean,fusion,0,0.8,Pastures,916,0.8913043478260869,0.08951965065502183,0.1626984126984127,0.6980294868440807,82,10,834,1225
clean,fusion,0,0.8,"Transitional woodland, shrub",885,0.7567567567567568,0.031638418079096044,0.06073752711496746,0.5654345256115796,28,9,857,1257
clean,fusion,0,0.8,Urban fabric,265,0.6702127659574468,0.23773584905660378,0.35097493036211697,0.4477625636207824,63,31,202,1855
clean,fusion,0,1.0,Arable land,883,0.8235294117647058,0.015855039637599093,0.03111111111111111,0.6535762382850183,14,3,869,1265
clean,fusion,0,1.0,Broad-leaved forest,511,0.0,0.0,0.0,0.4136967727918742,0,0,511,1640
clean,fusion,0,1.0,Complex cultivation patterns,1172,0.8400673400673401,0.4257679180887372,0.565118912797282,0.8156211197130685,499,95,673,884
clean,fusion,0,1.0,Coniferous forest,1193,0.6204419889502762,0.9413243922883487,0.7479187479187479,0.8523486183462341,1123,687,70,271
