variant,regime,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
ed,ed_r1,0,0.4,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7622282608695652,0.5632530120481928,0.6478060046189377,0.7722303957844185,561,175,435,980
ed,ed_r1,0,0.4,Marine waters,116,0.9586776859504132,1.0,0.9789029535864979,0.9999999999999997,116,5,0,2030
ed,ed_r1,0,0.4,Mixed forest,1214,0.6601123595505618,0.9678747940691927,0.7849031396125584,0.8260385996677092,1175,605,39,332
ed,ed_r1,0,0.4,Pastures,916,0.7963386727688787,0.3799126637554585,0.5144124168514412,0.7574526612683778,348,89,568,1146
ed,ed_r1,0,0.4,"Transitional woodland, shrub",885,0.5363457760314342,0.6169491525423729,0.5738307934839727,0.5671222502388367,546,472,339,794
ed,ed_r1,0,0.4,Urban fabric,265,0.6608187134502924,0.42641509433962266,0.518348623853211,0.5893794171948684,113,58,152,1828
ed,ed_r1,0,0.6,Arable land,883,0.6461538461538462,0.8561721404303511,0.7364831953239163,0.821763390146822,756,414,127,854
ed,ed_r1,0,0.6,Broad-leaved forest,511,0.6153846153846154,0.17221135029354206,0.2691131498470948,0.4960583576541178,88,55,423,1585
ed,ed_r1,0,0.6,Complex cultivation patterns,1172,0.8,0.6996587030716723,0.7464724624487938,0.8420379927818442,820,205,352,774
ed,ed_r1,0,0.6,Coniferous forest,1193,0.5977933801404213,0.9991617770326907,0.7480389080640101,0.9213317220733028,1192,802,1,156
ed,ed_r1,0,0.6,Inland waters,379,0.1914565105506948,0.9815303430079155,0.32041343669250644,0.7029196337470177,372,1571,7,201
ed,ed_r1,0,0.6,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7764227642276422,0.38353413654618473,0.5134408602150538,0.7494267112800401,382,110,614,1045
ed,ed_r1,0,0.6,Marine waters,116,0.9508196721311475,1.0,0.9747899159663865,0.9999999999999997,116,6,0,2029
ed,ed_r1,0,0.6,Mixed forest,1214,0.6327833954230974,0.9794069192751236,0.7688328483672809,0.793514134813561,1189,690,25,247
ed,ed_r1,0,0.6,Pastures,916,0.8181818181818182,0.34388646288209607,0.48424289008455035,0.7278764465595253,315,70,601,1165
ed,ed_r1,0,0.6,"Transitional woodland, shrub",885,0.527536231884058,0.6169491525423729,0.56875,0.5615003980946861,546,489,339,777
ed,ed_r1,0,0.6,Urban fabric,265,0.6206896551724138,0.4075471698113208,0.4920273348519362,0.5383426266828687,108,66,157,1820
ed,ed_r1,0,0.8,Arable land,883,0.5827559661277906,0.8573046432616082,0.693858845096242,0.7599564452338827,757,542,126,726
ed,ed_r1,0,0.8,Broad-leaved forest,511,0.8125,0.025440313111545987,0.04933586337760911,0.4645031359227349,13,3,498,1637
ed,ed_r1,0,0.8,Complex cultivation patterns,1172,0.7728136882129277,0.6936860068259386,0.7311151079136691,0.821430414406026,813,239,359,740
ed,ed_r1,0,0.8,Coniferous forest,1193,0.5876847290640395,1.0,0.7403040645361465,0.9044126949047413,1193,837,0,121
ed,ed_r1,0,0.8,Inland waters,379,0.19945945945945945,0.9736147757255936,0.3310901749663526,0.6802388748743899,369,1481,10,291
ed,ed_r1,0,0.8,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.8360655737704918,0.10240963855421686,0.18246869409660108,0.7235141091844784,102,20,894,1135
ed,ed_r1,0,0.8,Marine waters,116,0.9206349206349206,1.0,0.9586776859504132,0.9999999999999997,116,10,0,2025
ed,ed_r1,0,0.8,Mixed forest,1214,0.6286165176223041,0.984349258649094,0.7672552166934189,0.7787756415196144,1195,706,19,231
ed,ed_r1,0,0.8,Pastures,916,0.8282828282828283,0.17903930131004367,0.29443447037701975,0.7067899255088814,164,34,752,1201
ed,ed_r1,0,0.8,"Transitional woodland, shrub",885,0.5760517799352751,0.20112994350282487,0.2981574539363484,0.5270520361951073,178,131,707,1135
ed,ed_r1,0,0.8,Urban fabric,265,0.32671081677704195,0.5584905660377358,0.41225626740947074,0.4366757969384441,148,305,117,1581
ed,ed_r1,0,1.0,Arable land,883,0.0,0.0,0.0,0.6532257734003044,0,0,883,1268
ed,ed_r1,0,1.0,Broad-leaved forest,511,0.0,0.0,0.0,0.3881720950625111,0,0,511,1640
